L1,L2,m1,m2,dd1,st,pr
2.430000e+00,8.100000e-01,5,70,1.472813e-01,2.770000e+00,5.317016e-02
2.430000e+00,8.100000e-01,5,75,1.384065e-01,2.440000e+00,5.672396e-02
2.430000e+00,8.100000e-01,5,80,1.434051e-01,2.660000e+00,5.391170e-02
2.430000e+00,8.100000e-01,5,85,1.489333e-01,2.610000e+00,5.706257e-02
2.430000e+00,8.100000e-01,5,90,1.504931e-01,2.820000e+00,5.336634e-02
2.430000e+00,8.100000e-01,5,95,1.456455e-01,2.570000e+00,5.667139e-02
2.430000e+00,8.100000e-01,5,100,1.439562e-01,2.510000e+00,5.735308e-02
2.430000e+00,8.100000e-01,5,105,1.459863e-01,2.660000e+00,5.488207e-02
2.430000e+00,8.100000e-01,5,110,1.475063e-01,2.640000e+00,5.587359e-02
2.430000e+00,8.100000e-01,5,115,1.391172e-01,2.820000e+00,4.933234e-02
2.430000e+00,8.100000e-01,5,120,1.431088e-01,2.540000e+00,5.634205e-02
2.430000e+00,8.100000e-01,5,125,1.505655e-01,2.500000e+00,6.022620e-02
2.430000e+00,8.100000e-01,5,130,1.451670e-01,2.710000e+00,5.356715e-02
2.430000e+00,8.100000e-01,5,135,1.434090e-01,2.660000e+00,5.391316e-02
2.430000e+00,8.100000e-01,5,140,1.449048e-01,2.620000e+00,5.530716e-02
2.430000e+00,8.100000e-01,5,145,1.461077e-01,2.390000e+00,6.113292e-02
2.430000e+00,8.100000e-01,5,150,1.453668e-01,2.570000e+00,5.656296e-02
2.430000e+00,8.100000e-01,5,155,1.503647e-01,2.540000e+00,5.919871e-02
2.430000e+00,8.100000e-01,5,160,1.465595e-01,2.710000e+00,5.408099e-02
2.430000e+00,8.100000e-01,5,165,1.426831e-01,2.680000e+00,5.323995e-02
2.430000e+00,8.100000e-01,5,170,1.450044e-01,2.650000e+00,5.471862e-02
2.430000e+00,8.100000e-01,5,175,1.435055e-01,2.630000e+00,5.456483e-02
2.430000e+00,8.100000e-01,5,180,1.457765e-01,2.590000e+00,5.628436e-02
2.430000e+00,8.100000e-01,5,185,1.504694e-01,2.570000e+00,5.854841e-02
2.430000e+00,8.100000e-01,5,190,1.553475e-01,2.550000e+00,6.092059e-02
2.430000e+00,8.100000e-01,5,195,1.467183e-01,2.720000e+00,5.394055e-02
2.430000e+00,8.100000e-01,5,200,1.463718e-01,2.690000e+00,5.441330e-02
2.430000e+00,8.100000e-01,5,205,1.520214e-01,2.470000e+00,6.154713e-02
2.430000e+00,8.100000e-01,5,210,1.467005e-01,2.640000e+00,5.556837e-02
2.430000e+00,8.100000e-01,5,215,1.463755e-01,2.620000e+00,5.586851e-02
2.430000e+00,8.100000e-01,5,220,1.504328e-01,2.600000e+00,5.785877e-02
2.430000e+00,8.100000e-01,5,225,1.521804e-01,2.570000e+00,5.921415e-02
2.430000e+00,8.100000e-01,5,230,1.454438e-01,2.730000e+00,5.327613e-02
2.430000e+00,8.100000e-01,5,235,1.452386e-01,2.520000e+00,5.763438e-02
2.430000e+00,8.100000e-01,5,240,1.512558e-01,2.510000e+00,6.026129e-02
2.430000e+00,8.100000e-01,5,245,1.469632e-01,2.670000e+00,5.504241e-02
2.430000e+00,8.100000e-01,5,250,1.465385e-01,2.640000e+00,5.550701e-02
2.430000e+00,8.100000e-01,5,255,1.424076e-01,2.620000e+00,5.435404e-02
2.430000e+00,8.100000e-01,5,260,1.433268e-01,2.600000e+00,5.512568e-02
2.430000e+00,8.100000e-01,5,265,1.500143e-01,2.580000e+00,5.814508e-02
2.430000e+00,8.100000e-01,5,270,1.439255e-01,2.560000e+00,5.622091e-02
2.430000e+00,8.100000e-01,5,275,1.460540e-01,2.550000e+00,5.727606e-02
2.430000e+00,8.100000e-01,5,280,1.531104e-01,2.540000e+00,6.027970e-02
2.430000e+00,8.100000e-01,5,285,1.504936e-01,2.680000e+00,5.615433e-02
2.430000e+00,8.100000e-01,5,290,1.490903e-01,2.670000e+00,5.583907e-02
2.430000e+00,8.100000e-01,5,295,1.499397e-01,2.640000e+00,5.679532e-02
2.430000e+00,8.100000e-01,5,300,1.518513e-01,2.640000e+00,5.751942e-02
2.430000e+00,8.100000e-01,5,305,1.519122e-01,2.630000e+00,5.776131e-02
2.430000e+00,8.100000e-01,5,310,1.476177e-01,2.590000e+00,5.699527e-02
2.430000e+00,8.100000e-01,5,315,1.524845e-01,2.590000e+00,5.887433e-02
2.430000e+00,8.100000e-01,5,320,1.549867e-01,2.570000e+00,6.030609e-02
2.430000e+00,8.100000e-01,5,325,1.525842e-01,2.690000e+00,5.672275e-02
2.430000e+00,8.100000e-01,5,330,1.531757e-01,2.680000e+00,5.715511e-02
2.430000e+00,8.100000e-01,5,335,1.512043e-01,2.670000e+00,5.663083e-02
2.430000e+00,8.100000e-01,5,340,1.492391e-01,2.660000e+00,5.610493e-02
2.430000e+00,8.100000e-01,5,345,1.495832e-01,2.790000e+00,5.361406e-02
2.430000e+00,8.100000e-01,5,350,1.492433e-01,2.610000e+00,5.718134e-02
2.430000e+00,8.100000e-01,5,355,1.483431e-01,2.590000e+00,5.727533e-02
2.430000e+00,8.100000e-01,5,360,1.501977e-01,2.580000e+00,5.821616e-02
2.430000e+00,8.100000e-01,5,365,1.490589e-01,2.580000e+00,5.777476e-02
2.430000e+00,8.100000e-01,5,370,1.495303e-01,2.710000e+00,5.517724e-02
2.430000e+00,8.100000e-01,5,375,1.511287e-01,2.710000e+00,5.576707e-02
2.430000e+00,8.100000e-01,5,380,1.501427e-01,2.680000e+00,5.602339e-02
2.430000e+00,8.100000e-01,5,385,1.486657e-01,2.670000e+00,5.568005e-02
2.430000e+00,8.100000e-01,5,390,1.489156e-01,2.660000e+00,5.598330e-02
2.430000e+00,8.100000e-01,5,395,1.466589e-01,2.630000e+00,5.576385e-02
2.430000e+00,8.100000e-01,5,400,1.488900e-01,2.620000e+00,5.682824e-02
2.430000e+00,8.100000e-01,5,405,1.494761e-01,2.610000e+00,5.727053e-02
2.430000e+00,8.100000e-01,5,410,1.474259e-01,2.600000e+00,5.670226e-02
2.430000e+00,8.100000e-01,5,415,1.486315e-01,2.600000e+00,5.716597e-02
2.430000e+00,8.100000e-01,5,420,1.479211e-01,2.710000e+00,5.458345e-02
2.430000e+00,8.100000e-01,5,425,1.502678e-01,2.700000e+00,5.565472e-02
2.430000e+00,8.100000e-01,5,430,1.516458e-01,2.690000e+00,5.637391e-02
2.430000e+00,8.100000e-01,5,435,1.515282e-01,2.690000e+00,5.633018e-02
2.430000e+00,8.100000e-01,5,440,1.494131e-01,2.660000e+00,5.617034e-02
2.430000e+00,8.100000e-01,5,445,1.496969e-01,2.650000e+00,5.648940e-02
2.430000e+00,8.100000e-01,5,450,1.508122e-01,2.630000e+00,5.734304e-02
2.430000e+00,8.100000e-01,5,455,1.541384e-01,2.630000e+00,5.860775e-02
2.430000e+00,8.100000e-01,5,460,1.544487e-01,2.630000e+00,5.872576e-02
2.430000e+00,8.100000e-01,5,465,1.516920e-01,2.740000e+00,5.536204e-02
2.430000e+00,8.100000e-01,5,470,1.494168e-01,2.720000e+00,5.493266e-02
2.430000e+00,8.100000e-01,5,475,1.493804e-01,2.720000e+00,5.491927e-02
2.430000e+00,8.100000e-01,5,480,1.479739e-01,2.700000e+00,5.480514e-02
2.430000e+00,8.100000e-01,5,485,1.516948e-01,2.560000e+00,5.925578e-02
2.430000e+00,8.100000e-01,5,490,1.519624e-01,2.670000e+00,5.691477e-02
2.430000e+00,8.100000e-01,5,495,1.522634e-01,2.670000e+00,5.702749e-02
2.430000e+00,8.100000e-01,5,500,1.535714e-01,2.660000e+00,5.773360e-02
3.240000e+00,8.100000e-01,5,5,1.680723e-01,2.940000e+00,5.716746e-02
3.240000e+00,8.100000e-01,5,10,1.930786e-01,2.880000e+00,6.704117e-02
3.240000e+00,8.100000e-01,5,15,1.878459e-01,2.830000e+00,6.637664e-02
3.240000e+00,8.100000e-01,5,20,1.934444e-01,2.960000e+00,6.535282e-02
3.240000e+00,8.100000e-01,5,25,1.828501e-01,2.850000e+00,6.415793e-02
3.240000e+00,8.100000e-01,5,30,1.845849e-01,3.080000e+00,5.993016e-02
3.240000e+00,8.100000e-01,5,35,1.913657e-01,2.900000e+00,6.598818e-02
3.240000e+00,8.100000e-01,5,40,1.949923e-01,2.830000e+00,6.890186e-02
3.240000e+00,8.100000e-01,5,45,1.831318e-01,3.050000e+00,6.004322e-02
3.240000e+00,8.100000e-01,5,50,1.836719e-01,2.660000e+00,6.904958e-02
3.240000e+00,8.100000e-01,5,55,1.900037e-01,2.870000e+00,6.620336e-02
3.240000e+00,8.100000e-01,5,60,1.899649e-01,3.080000e+00,6.167690e-02
3.240000e+00,8.100000e-01,5,65,1.824025e-01,2.690000e+00,6.780764e-02
3.240000e+00,8.100000e-01,5,70,1.953334e-01,2.940000e+00,6.643994e-02
3.240000e+00,8.100000e-01,5,75,1.990463e-01,2.930000e+00,6.793390e-02
