t1sc,d1sc
2.679000e+01,-3.657508e-01
2.680000e+01,-3.659078e-01
2.681000e+01,-3.660056e-01
2.682000e+01,-3.660444e-01
2.683000e+01,-3.660242e-01
2.684000e+01,-3.659452e-01
2.685000e+01,-3.658075e-01
2.686000e+01,-3.656113e-01
2.687000e+01,-3.653568e-01
2.688000e+01,-3.650441e-01
2.689000e+01,-3.646735e-01
2.690000e+01,-3.642451e-01
2.691000e+01,-3.637590e-01
2.692000e+01,-3.632156e-01
2.693000e+01,-3.626148e-01
2.694000e+01,-3.619570e-01
2.695000e+01,-3.612422e-01
2.696000e+01,-3.604706e-01
2.697000e+01,-3.596424e-01
2.698000e+01,-3.587575e-01
2.699000e+01,-3.578162e-01
27,-3.568185e-01
2.701000e+01,-3.557645e-01
2.702000e+01,-3.546543e-01
2.703000e+01,-3.534880e-01
2.704000e+01,-3.522657e-01
2.705000e+01,-3.509874e-01
2.706000e+01,-3.496533e-01
2.707000e+01,-3.482635e-01
2.708000e+01,-3.468180e-01
2.709000e+01,-3.453170e-01
2.710000e+01,-3.437607e-01
2.711000e+01,-3.421492e-01
2.712000e+01,-3.404828e-01
2.713000e+01,-3.387616e-01
2.714000e+01,-3.369859e-01
2.715000e+01,-3.351560e-01
2.716000e+01,-3.332722e-01
2.717000e+01,-3.313348e-01
2.718000e+01,-3.293443e-01
2.719000e+01,-3.273008e-01
2.720000e+01,-3.252050e-01
2.721000e+01,-3.230572e-01
2.722000e+01,-3.208579e-01
2.723000e+01,-3.186075e-01
2.724000e+01,-3.163066e-01
2.725000e+01,-3.139556e-01
2.726000e+01,-3.115550e-01
2.727000e+01,-3.091055e-01
2.728000e+01,-3.066074e-01
2.729000e+01,-3.040613e-01
2.730000e+01,-3.014677e-01
2.731000e+01,-2.988272e-01
2.732000e+01,-2.961401e-01
2.733000e+01,-2.934071e-01
2.734000e+01,-2.906286e-01
2.735000e+01,-2.878050e-01
2.736000e+01,-2.849368e-01
2.737000e+01,-2.820245e-01
2.738000e+01,-2.790684e-01
2.739000e+01,-2.760691e-01
2.740000e+01,-2.730268e-01
2.741000e+01,-2.699422e-01
2.742000e+01,-2.668154e-01
2.743000e+01,-2.636470e-01
2.744000e+01,-2.604373e-01
2.745000e+01,-2.571867e-01
2.746000e+01,-2.538957e-01
2.747000e+01,-2.505647e-01
2.748000e+01,-2.471941e-01
2.749000e+01,-2.437844e-01
2.750000e+01,-2.403361e-01
2.751000e+01,-2.368495e-01
2.752000e+01,-2.333253e-01
2.753000e+01,-2.297640e-01
2.754000e+01,-2.261661e-01
2.755000e+01,-2.225322e-01
2.756000e+01,-2.188630e-01
2.757000e+01,-2.151590e-01
2.758000e+01,-2.114209e-01
2.759000e+01,-2.076494e-01
2.760000e+01,-2.038451e-01
2.761000e+01,-2.000089e-01
2.762000e+01,-1.961413e-01
2.763000e+01,-1.922432e-01
2.764000e+01,-1.883152e-01
2.765000e+01,-1.843582e-01
2.766000e+01,-1.803729e-01
2.767000e+01,-1.763599e-01
2.768000e+01,-1.723202e-01
2.769000e+01,-1.682544e-01
2.770000e+01,-1.641632e-01
2.771000e+01,-1.600474e-01
2.772000e+01,-1.559077e-01
2.773000e+01,-1.517448e-01
2.774000e+01,-1.475594e-01
2.775000e+01,-1.433521e-01
2.776000e+01,-1.391236e-01
2.777000e+01,-1.348746e-01
2.778000e+01,-1.306056e-01
2.779000e+01,-1.263173e-01
2.780000e+01,-1.220104e-01
2.781000e+01,-1.176853e-01
2.782000e+01,-1.133427e-01
2.783000e+01,-1.089832e-01
2.784000e+01,-1.046073e-01
